,weight_pct,position_eur,annual_vol,est_round_trip_cost_eur
JNJ,2.69,874.0,15.8,2.62
NOVN.SW,2.53,822.0,16.8,2.46
NEE,2.24,727.0,19.0,2.18
ROG.SW,2.18,709.0,19.5,2.13
GOOGL,1.95,635.0,21.7,1.9
MRK,1.82,592.0,23.3,1.77
WMT,1.73,562.0,24.6,1.69
RTX,1.71,554.0,24.9,1.66
AZN,1.6,519.0,26.6,1.56
