ticker,momentum_12_1_raw,momentum_12_1_z,momentum_6_1_raw,momentum_6_1_z,mean_rev_5d_raw,mean_rev_5d_z,vol_quality_raw,vol_quality_z,risk_adj_mom_raw,risk_adj_mom_z,composite_z,rank
CAT,1.2728238727781616,3.0,0.647772215575225,2.678882008055165,0.007900092770259715,-0.013190469572566739,0.35850637295109566,-0.6355934946062501,1.42967565267092,1.4866186558330368,1.711451605359166,1
JNJ,0.5383814462594192,1.0457459484516007,0.3898344943216945,1.382367623130264,0.020083150633739888,0.3997420163930822,0.1578866673388089,1.2672091525438085,2.3260309903124505,2.692748159186077,1.2964395058025582,2
INTC,0.9718189647625077,2.408715195533273,0.5611900075823235,2.2436797522710274,0.08170067124520453,2.488205869249108,0.7280058652385305,-3.0,0.6724121597800233,0.46765017064379016,1.2851646748747856,3
ASML,1.0293149453075343,2.5895146186757785,0.5278388168680168,2.0760412296643596,-0.0017884301877086894,-0.34157320526995155,0.43586994917235794,-1.3693579928520176,1.135403689384323,1.0906483502804738,1.2284959352931701,4
MRK,0.41936124173025435,0.6714800586069346,0.504221057882096,1.9573274404747665,-0.004459358429110161,-0.43210163014625874,0.2333535134645961,0.5514344277132909,1.9040312517555782,2.124908248264203,0.9631196654820657,5
GOOGL,0.8348117665753587,1.97788816790812,0.18646956456433128,0.36016134970000885,-0.007191451677735161,-0.5247031813895209,0.21746340152062207,0.7021461784768848,1.022207370770038,0.9383321718429437,0.9316594040473899,6
RTX,0.5353992793834665,1.0363683529088188,0.29110403243391825,0.8861026199128276,0.01896165579436815,0.3617300774194024,0.24905820930762743,0.4024812791100443,1.1816925207205637,1.1529342795384756,0.8275212929108404,7
AZN,0.4503353094086462,0.7688797988243327,0.3730991561102548,1.2982480665866594,0.010449559246663687,0.07322113101116785,0.2658479173083451,0.24323719722317727,1.0041053490184886,0.9139742173710823,0.7133224247466625,8
NOVN.SW,0.31969578235044027,0.35807627990293156,0.31308175550412276,0.9965728294267296,-0.004453983215457535,-0.4319194426888037,0.16801430178365423,1.1711523391205934,1.6872153582146607,1.8331622910374332,0.7105005419717554,9
NEE,0.35982562703871523,0.4842668883882762,0.3131370520025376,0.9968507752241974,-0.009491545738909313,-0.6026625549128569,0.1898642416237702,0.9639138565350825,1.6829076625525736,1.827365885737745,0.6971561440847317,10
AVGO,0.8660828894966262,2.076222015449965,-0.03244870944277589,-0.740223231484084,0.05931436991302974,1.7294447138596325,0.3695598906036692,-0.7404319629184515,-0.17621855259824967,-0.6742614091367319,0.6258457603813383,11
ROG.SW,0.2587793693853868,0.1665211099660137,0.3926819701818498,1.396680354883791,-0.006558324503060042,-0.5032439729460733,0.19463559845564665,0.91865932691406,1.2997473586736477,1.3117880477811332,0.596698969727231,12
AMGN,0.25960292978609334,0.16911084309099522,0.3266124358218516,1.064584291978625,0.04371890987504312,1.2008522902310907,0.2947123198629796,-0.030530832800288406,0.9607918853520523,0.8556919221398676,0.5760076604131737,13
WMT,0.5224400106300007,0.9956171857356555,0.26172828382870095,0.7384465095559927,-0.012875568829786577,-0.7173606120951889,0.24565758586094263,0.43473491679017096,0.9151419118358769,0.7942656355178501,0.5729013079506028,14
GE,0.5833194820930647,1.1870561909913837,0.0887100736663331,-0.13122310386585243,0.07092110715504174,2.12284339233599,0.34715284587416284,-0.5279095494496954,0.020146169821144085,-0.41003440542307934,0.5669599616932961,15
LLY,0.2624232490064018,0.1779794993566304,0.3820706302976753,1.3433428486970285,0.06950116959017916,2.074716037517105,0.40221515417951986,-1.050154887622544,0.5993528197223383,0.3693420311832351,0.5400468716758957,16
HON,0.22781582346360363,0.06915445601842542,0.23701415506230905,0.614221858346414,0.033494838751613853,0.8543176884097667,0.22324754329806282,0.6472857635838651,0.8314608542338938,0.681664986860921,0.4745386971039146,17
UPS,0.11165357816918653,-0.2961244163667763,0.41752171346040745,1.5215364027777583,0.030059586477746314,0.7378832696240335,0.26213288329609313,0.2784729011695629,0.762281249964833,0.5885773928730874,0.44140376937718256,18
GS,0.6206484731479969,1.3044393538707106,0.14357922231115983,0.14457463583999433,0.020297212222086913,0.4069974185110397,0.3362049867334436,-0.4240732124856425,0.038091267172144914,-0.3858876073323422,0.42502419082670584,19
BNP.PA,0.2644036083861485,0.18420685351389468,0.20005679571088297,0.4284570628946248,0.03980327695452046,1.068135852853974,0.268456981565679,0.21849120150811108,0.4311292147939041,0.142981519292432,0.3646050973569656,20
DE,0.2593769513527011,0.16840024088867317,0.28829939508906155,0.8720052143668967,0.033297368852855724,0.8476246449135187,0.35532234433650633,-0.605394177655049,0.6509792871226892,0.43881024637710647,0.33549723422975136,21
NVDA,0.6262620882553831,1.3220916899738346,0.0470386343649587,-0.3406830472668887,0.022039488955648556,0.4660501350696891,0.34866375064670974,-0.5422399144156871,0.08571621468402588,-0.3218038094482806,0.3348964437183226,22
KO,0.16120051902045374,-0.14032120648204963,0.2060636732975163,0.45865041019452646,-0.006227516871036176,-0.49203158116408074,0.1586011239222786,1.260432799871219,1.1609949449254795,1.125083765611687,0.3266404074180117,23
XOM,0.27854057504985663,0.22866135961248396,0.3158269859330223,1.0103716283139361,-0.047697556671079555,-1.897616847163518,0.2567356814100195,0.32966333634980083,1.672603654691555,1.8135008844798106,0.31893790757707063,24
TTE,0.21792701882210075,0.03805854013344444,0.28464683297545257,0.8536457464336623,-0.058172469548102734,-2.2526534777904357,0.242175549131298,0.46776072891774984,1.835330983386648,2.032465645327223,0.22118557280161855,25
TXN,0.2619480616434704,0.1764852453185534,0.27775408338148755,0.818999596359796,0.021241260681517216,0.43899499100826483,0.355544211487906,-0.6074985043547142,0.283754836098234,-0.0553244188981856,0.19199556529675765,26
PEP,0.12294666271767074,-0.2606126614143321,0.15338419824705207,0.19385898356140302,0.022791096069873173,0.4915251018328841,0.2138021094109781,0.7368721606377991,0.5834183999167187,0.34790078680247494,0.18400207260823812,27
MS,0.44143519802184894,0.740892885836966,0.08520861367616073,-0.1488230625823806,0.019019190566238686,0.3636801606123243,0.32817409777027473,-0.3479032433819192,-0.004645454902078482,-0.4433938430914181,0.16540535864731,28
BA,0.36678795359858296,0.506160325352414,0.13164850541695872,0.08460533006872165,0.015319937813131235,0.23829771125739868,0.2802654404946514,0.10649239839833637,-0.07991474627651883,-0.5446756776616893,0.16409434468619605,29
