ticker,price,ema_fast,ema_slow,ema_trend,trend_score,momentum_score,rsi,realized_vol_ann,vol_regime,raw_signal,adjusted_signal,action,rank
ETH-USD,2340.170654296875,2103.4698529268703,2218.558443949663,2826.0548225474718,0.3333333333333333,0.09139691494580192,65.7185995017986,0.5573659327397105,NORMAL,0.42042870575203617,0.42042870575203617,BUY,1
AVAX-USD,10.318370819091797,9.58357910452462,9.975638848651185,14.588990034168244,0.3333333333333333,0.05619282860937439,62.47100269883656,0.5704423996100811,NORMAL,0.3676225762473949,0.3676225762473949,BUY,2
LINK-USD,9.893596649169922,9.174542665264996,9.623580593184208,13.072105640206072,0.3333333333333333,0.051149579783734245,62.21861674572129,0.5548926639812309,NORMAL,0.3600577030089347,0.3600577030089347,BUY,3
XRP-USD,1.53322434425354,1.426487889967254,1.5093673103295289,1.9712835869526366,0.3333333333333333,0.045058313754698376,61.935653514530436,0.4187665297829388,NORMAL,0.3509208039653809,0.3509208039653809,BUY,4
SOL-USD,95.3042984008789,88.55169889732349,94.29651312744099,130.58686915452103,0.3333333333333333,0.041994371728763316,60.524363248210726,0.5535115867474445,NORMAL,0.34632489092647833,0.34632489092647833,BUY,5
ADA-USD,0.29107657074928284,0.27212280080708073,0.29034814613469256,0.4449174145499801,0.3333333333333333,0.03704641705825358,58.662241832009386,0.6121075043052454,NORMAL,0.33890295892071365,0.33890295892071365,BUY,6
BTC-USD,74797.6953125,70575.2247192511,72935.23303064574,87819.68609754671,0.3333333333333333,0.03072993184625516,61.77717809717902,0.41215858906619257,NORMAL,0.3294282311027161,0.3294282311027161,BUY,7
LTC-USD,58.60066604614258,55.50712666212593,58.29956909347106,77.09456790611763,0.3333333333333333,0.028972248456970294,60.4388691852389,0.45737279327748226,NORMAL,0.32679170601878876,0.32679170601878876,BUY,8
NEAR-USD,1.4653974771499634,1.289046233962026,1.2817185283882269,1.7536850091975218,0.3333333333333333,0.14754514718307415,66.41324917579779,0.910397190411232,HIGH,0.5046510541079445,0.25232552705397227,HOLD,9
DOT-USD,1.6236697435379028,1.5032734150234803,1.5582450767537066,2.3344963115421806,0.3333333333333333,0.05324865480956153,58.85141423432423,1.0343682685970108,HIGH,0.3632063155476756,0.1816031577738378,HOLD,10
INJ-USD,3.248380661010742,3.1158162968311416,3.4333958796793245,6.213938100815969,-0.3333333333333333,0.011803065253090043,53.53666207898207,0.68421662966493,NORMAL,-0.19062873545369827,-0.19062873545369827,REDUCE,11
BNB-USD,674.159912109375,649.8942434551451,681.9208679299054,794.414564768897,-0.3333333333333333,0.007755616261762851,57.791287218644094,0.3678636014581003,NORMAL,-0.19669990894068906,-0.19669990894068906,REDUCE,12
FIL-USD,0.975848913192749,0.9440741532574188,1.0236788385048785,1.5294620709468585,-0.3333333333333333,-0.006737045317023384,52.490326182999944,0.776624866329438,NORMAL,-0.2184389013088684,-0.2184389013088684,REDUCE,13
ATOM-USD,1.9629218578338623,1.8988464900011346,1.9996558013876453,2.684050228709647,-0.3333333333333333,-0.012158793563751352,53.85052497858681,0.5015014036345603,NORMAL,-0.22657152367896038,-0.22657152367896038,REDUCE,14
OP-USD,0.1370883285999298,0.13152192965537327,0.16691628039136458,0.35111265019336796,-0.3333333333333333,-0.04081220067831428,49.59113432556922,0.7636579139449106,NORMAL,-0.26955163435080476,-0.26955163435080476,REDUCE,15
ARB-USD,0.0008992253569886088,0.0008992374650026014,0.0009127396320664781,0.0010174859540848379,-1.0,0.0002507008552188328,16.432792763016465,0.0007265090442989047,NORMAL,-0.32462394871717176,-0.32462394871717176,SELL / NO POSITION,16
