,weight_pct,position_eur,annual_vol,est_round_trip_cost_eur
JNJ,2.65,863.0,16.0,2.59
NOVN.SW,2.5,811.0,17.0,2.43
NEE,2.24,727.0,19.0,2.18
ROG.SW,2.15,700.0,19.7,2.1
GOOGL,1.99,646.0,21.4,1.94
MRK,1.79,580.0,23.8,1.74
WMT,1.73,561.0,24.6,1.68
RTX,1.69,550.0,25.1,1.65
AZN,1.59,516.0,26.7,1.55
