date,portfolio,benchmark
2023-06-27,1.0,1.0
2023-06-28,0.9985,1.0005044619926935
2023-06-29,0.9978526203627723,1.004447616646451
2023-06-30,1.0132058927933227,1.0163010647666204
2023-07-03,1.0089524813678663,1.017470364754267
2023-07-04,1.007403680485569,1.017470364754267
2023-07-05,1.005738190055552,1.015957195500514
2023-07-06,0.9941625480934191,1.0080015344082378
2023-07-07,0.9936185436989972,1.0054564683903955
2023-07-10,1.0007800993995812,1.0080015344082376
2023-07-11,1.0048218663276183,1.014420981226616
2023-07-12,1.0230831140721393,1.022583108361441
2023-07-13,1.0319642492399703,1.0306990732145342
2023-07-14,1.0345392541653151,1.0300569912739557
2023-07-17,1.0422219445767762,1.0336335928486746
2023-07-18,1.0491404893141802,1.0413141585280656
2023-07-19,1.0464511117698305,1.0436297134832146
2023-07-20,1.0374341375264422,1.0367057324307003
2023-07-21,1.0318474186987359,1.0367057324307003
2023-07-24,1.031357149631589,1.0413370590653255
2023-07-25,1.045422107241225,1.0441799765504274
2023-07-26,1.0374770498223178,1.0443405692770145
2023-07-27,1.044226937375284,1.0374165882245
2023-07-28,1.0593611514234287,1.0475732293441844
2023-07-31,1.0569070681648862,1.049567887811929
2023-08-01,1.0534196245511955,1.0465645220831248
2023-08-02,1.0326039959105446,1.0320059209086234
2023-08-03,1.0257200859113766,1.029048284012896
2023-08-04,1.023586625731058,1.0243941290824539
2023-08-07,1.0344226829963323,1.0333355246570877
2023-08-08,1.057870748076755,1.0288419624532323
2023-08-09,1.044117536058242,1.021963926958122
2023-08-10,1.0487439486439536,1.022330696761488
2023-08-11,1.0398049817182164,1.0217347048611987
2023-08-14,1.0564242275010243,1.027374666515441
2023-08-15,1.0455658706678264,1.0154067879504163
2023-08-16,1.038083502878062,1.0079555888508336
2023-08-17,1.0241720327530637,1.000275095412885
2023-08-18,1.024173501578691,1.0007565846268762
2023-08-21,1.047242841002012,1.007267778077178
2023-08-22,1.040788145249466,1.004539363278374
2023-08-23,1.0532590758267215,1.0157277566792626
2023-08-24,1.036847287790202,1.0016507169601951
2023-08-25,1.0387361664510464,1.0087122457191522
2023-08-28,1.0475750500421643,1.015108792000271
2023-08-29,1.065849471978233,1.0297820403439555
2023-08-30,1.0662897161085148,1.0340234076721853
2023-08-31,1.0686532906692658,1.0325102384184321
2023-09-01,1.058183999210388,1.0344361230329553
2023-09-04,1.058119552309439,1.0344361230329553
2023-09-05,1.0571291417912616,1.0299652446420322
2023-09-06,1.0528127390891466,1.0230415525552876
2023-09-07,1.0536003131859588,1.0199005668785983
2023-09-08,1.0564886105062121,1.021436636669611
2023-09-11,1.0670154794318347,1.0281540794381343
2023-09-12,1.0587243794894934,1.022514117783892
2023-09-13,1.0623977595401317,1.0237063183087982
2023-09-14,1.0721685029223198,1.0325331389556913
2023-09-15,1.0537033184144635,1.0200929458398673
2023-09-18,1.0550510934797528,1.020691177224873
2023-09-19,1.0549631583563894,1.0185745029608146
2023-09-20,1.0439115755630008,1.0092102782234664
2023-09-21,1.0204103784374112,0.9925295846767223
2023-09-22,1.0225526574328752,0.9902980465191535
2023-09-25,1.0295211285297885,0.9944624044697216
2023-09-26,1.0135341638564672,0.9798524396296316
2023-09-27,1.0169686466718895,0.980243482557664
2023-09-28,1.0250822447468206,0.9859265001116122
2023-09-29,1.014845844185456,0.9835335745715894
2023-10-02,1.0175636141123416,0.9831425316435571
2023-10-03,1.0020661930875305,0.969982163587856
2023-10-04,1.0084807421853026,0.9770454261414321
2023-10-05,1.011287001567976,0.9766772837506593
2023-10-06,1.0321619277381018,0.9882732633699036
2023-10-09,1.0342149521863373,0.9946003856248191
2023-10-10,1.0430579763995647,0.9997770629085698
2023-10-11,1.0554949712118766,1.0038724302815891
2023-10-12,1.0540447291877109,0.9977524242422046
2023-10-13,1.0398992046604012,0.9927827909325423
2023-10-16,1.0507780417120187,1.0032282533391792
2023-10-17,1.0451160248930111,1.0031820910574476
2023-10-18,1.0323607530436276,0.9898148235105431
2023-10-19,1.0103431089787573,0.9811177484943068
2023-10-20,0.9948224119223742,0.969061807610924
2023-10-23,1.0009876210822388,0.9673822663151871
2023-10-24,1.0188934883565053,0.9746756901044386
2023-10-25,0.9886940412181652,0.9606869294280564
2023-10-26,0.9732025469276887,0.9491831298893904
2023-10-27,0.9819454824440169,0.94488064630084
2023-10-30,0.9943086651091834,0.9561774018654177
2023-10-31,0.9914708717940376,0.9621824717698494
2023-11-01,1.0058659178503209,0.9724439352225424
2023-11-02,1.0273798548909927,0.9910802046166606
2023-11-03,1.0357929280478146,1.0001222325206403
2023-11-06,1.046958262139675,1.0024229779800848
2023-11-07,1.0510651114800673,1.0052759370256887
2023-11-08,1.057078685754847,1.0060122218072343
2023-11-09,1.044878833234415,0.9981665844318237
2023-11-10,1.067996110800407,1.0137428508062498
2023-11-13,1.0760906543088369,1.0127764770304712
2023-11-14,1.0946787947570737,1.0324249935163297
2023-11-15,1.0865350621377567,1.034610730599379
2023-11-16,1.0801135563541877,1.035876183946939
2023-11-17,1.0879992008832253,1.0371646100732013
2023-11-20,1.0997574887601311,1.0451483008451516
2023-11-21,1.095768666537492,1.0428705281644088
2023-11-22,1.0917941576722023,1.0468968327184371
2023-11-23,1.0917941576722023,1.0468968327184371
2023-11-24,1.095468093190672,1.047541154143732
2023-11-27,1.0882289793192776,1.0456544966324641
2023-11-28,1.0871014027141266,1.0466897887443487
2023-11-29,1.0823849491112418,1.0459535039628032
2023-11-30,1.0786269606228915,1.0500719885974097
2023-12-01,1.0758510022771304,1.05628410247593
2023-12-04,1.066210047776278,1.0507391383185216
2023-12-05,1.0670014121957354,1.0505320221029906
2023-12-06,1.0568162541492354,1.0462986735748738
2023-12-07,1.0630242059486206,1.0542823643468242
2023-12-08,1.072661612043087,1.058814864688165
2023-12-11,1.0645323915638918,1.062933277081329
2023-12-12,1.0734464466499956,1.0677879742560383
2023-12-13,1.0795748750888867,1.0825128029896385
2023-12-14,1.0646156047584776,1.0859870384403927
2023-12-15,1.068589455888958,1.0841989904980818
2023-12-18,1.0831683456514754,1.0902976853119408
2023-12-19,1.0856958980890734,1.0969276436936457
2023-12-20,1.0733739128854014,1.0817273217857781
2023-12-21,1.0898370495830472,1.0919839450618263
2023-12-22,1.0909610595385928,1.0941785678422982
2023-12-26,1.1009360452598433,1.0987987692947847
2023-12-27,1.1089666765208281,1.1007854812038587
2023-12-28,1.104360086677306,1.1012013751880971
2023-12-29,1.1031901315328565,1.098013360332367
2024-01-02,1.0923797697065338,1.091868430995334
2024-01-03,1.0909732265228187,1.082951525269694
2024-01-04,1.094372861705693,1.0794632027376603
2024-01-05,1.095011799385713,1.0809416238575904
2024-01-08,1.1179924990968617,1.0963731906227703
2024-01-09,1.1201708967920203,1.0947099036515866
2024-01-10,1.1329672211147062,1.1009009230289086
2024-01-11,1.1379240925416934,1.1004158217427942
2024-01-12,1.140075316891928,1.10117825792651
2024-01-15,1.1409583572498578,1.10117825792651
2024-01-16,1.1411888125472152,1.0971354823236008
2024-01-17,1.1369946068984385,1.0910368597511841
2024-01-18,1.1489548004550285,1.1007392466806842
2024-01-19,1.1717349585900487,1.114461219710064
2024-01-22,1.1708845618882795,1.1168177355630875
2024-01-23,1.1757556084442229,1.1200748132378087
2024-01-24,1.18558176584452,1.1212992334460519
2024-01-25,1.1965240800743935,1.1273978560184683
2024-01-26,1.1832986536220067,1.1259656694217122
2024-01-29,1.1955109355731044,1.1348824306644674
2024-01-30,1.1962167234119585,1.1340046971385866
2024-01-31,1.1892159137594034,1.115500774067054
2024-02-01,1.2103947185205397,1.1301006251051997
2024-02-02,1.2429436374337195,1.1419977070566143
2024-02-05,1.2586198947706073,1.1378394173872128
2024-02-06,1.254172785347426,1.1411429463094356
2024-02-07,1.2698028829667534,1.1506605396291247
2024-02-08,1.2729172470299384,1.151168758176826
2024-02-09,1.2826388245236955,1.1578218338201178
2024-02-12,1.2815832066847486,1.1573136152724164
2024-02-13,1.268863146954001,1.141373829959535
2024-02-14,1.2926848098441293,1.1517463285092882
2024-02-15,1.296361938589248,1.159692959421257
2024-02-16,1.289601998016139,1.1539178340281733
2024-02-19,1.289601998016139,1.1539178340281733
2024-02-20,1.2761905316561881,1.1475649938197423
2024-02-21,1.2663843303809146,1.1486045481767322
2024-02-22,1.3189116972276693,1.1723753780936474
2024-02-23,1.3170540150427175,1.1731839765590948
2024-02-26,1.3221263152358291,1.1688870555616138
2024-02-27,1.318287280298661,1.1710586333219413
2024-02-28,1.3149443768435916,1.1695109326586925
2024-02-29,1.3245039762227102,1.1737152401269404
2024-03-01,1.357307113849209,1.184734371828147
2024-03-04,1.3689122157539737,1.183463933821057
2024-03-05,1.3492547850149939,1.1716362036544032
2024-03-06,1.3623914064399436,1.1775732221200383
2024-03-07,1.3941740427834524,1.18926224871717
2024-03-08,1.3578018117940571,1.182123999546321
2024-03-11,1.3332201387095206,1.1811076346923608
2024-03-12,1.365650098553913,1.1938132428677803
2024-03-13,1.3585366914838277,1.1919420450251987
2024-03-14,1.3543959367742786,1.1895858181379453
2024-03-15,1.334910419520689,1.181417333756184
2024-03-18,1.3454714007517004,1.188438624031691
2024-03-19,1.3565990058405388,1.1950428644598807
2024-03-20,1.3752605982651627,1.206096238604813
2024-03-21,1.3958927257551381,1.2100819434681793
2024-03-22,1.3963782332506705,1.207787988704326
2024-03-25,1.39247199600284,1.204451084235687
2024-03-26,1.3861579047168093,1.202226409015152
2024-03-27,1.3905418460253867,1.2123297359503016
2024-03-28,1.3869802215106255,1.212097985402892
2024-04-01,1.383192707010302,1.2099891854560616
2024-04-02,1.3753708545409729,1.202296122007125
2024-04-03,1.3919947249333338,1.203616767816724
2024-04-04,1.3737714241121266,1.18892531462954
2024-04-05,1.404429321429619,1.2013459303144576
2024-04-08,1.400887876860347,1.2020179202122143
2024-04-09,1.390964005386894,1.203408351255229
2024-04-10,1.3850194038443375,1.1913584786530127
2024-04-11,1.4052068928803048,1.200349504098616
2024-04-12,1.3681319512556422,1.1837809292705688
2024-04-15,1.3443855938651994,1.168950483548093
2024-04-16,1.3525876053755899,1.1668184218567907
2024-04-17,1.3250440115969087,1.159912934613546
2024-04-18,1.3159413250115763,1.1575261495961322
2024-04-19,1.2797086277491136,1.1474229671438676
2024-04-22,1.2994815439254372,1.1579896506909513
2024-04-23,1.3344895178577563,1.1717310566683525
2024-04-24,1.3231171327408873,1.1711749420443005
2024-04-25,1.3067111746264892,1.1667257360861154
2024-04-26,1.3344544963253056,1.1777791824724901
2024-04-29,1.3376717307890058,1.1819502588772068
2024-04-30,1.3244264343544854,1.1632266495791552
2024-05-01,1.3087953840249655,1.1594495057601693
2024-05-02,1.3273234097686746,1.1702943188607213
2024-05-03,1.3390393605816187,1.1848005449894397
2024-05-06,1.36782207637971,1.1970356446501216
2024-05-07,1.374418248590486,1.1983567239083754
2024-05-08,1.3813984204858654,1.1984723102163104
2024-05-09,1.3865655414339293,1.2053777252181128
2024-05-10,1.3917888175101376,1.2069304827823337
2024-05-13,1.3893448130443384,1.2070927370620974
2024-05-14,1.402322019053979,1.212630982765357
2024-05-15,1.4325464828136194,1.227647233477838
2024-05-16,1.4159733775631977,1.225121239200805
2024-05-17,1.4141046605711836,1.2268821966021937
2024-05-20,1.4230155123505166,1.2282955281824681
2024-05-21,1.4333246141868559,1.231308285298792
2024-05-22,1.4314557330950453,1.227762819785773
2024-05-23,1.4438442217746015,1.218794911601757
2024-05-24,1.4589455556333355,1.2268592238234919
2024-05-27,1.4576325046332654,1.2268592238234919
2024-05-28,1.463806499607632,1.2277164407797143
2024-05-29,1.45167143373876,1.2191194201612843
2024-05-30,1.4417285225417875,1.2110322074022897
2024-05-31,1.4408878499311086,1.2220623920441924
2024-06-03,1.4477225227626045,1.2230587460185913
2024-06-04,1.4553106291932179,1.2244261320414616
2024-06-05,1.4883437174374508,1.2389785926933536
2024-06-06,1.487945364671321,1.238955041983112
2024-06-07,1.4903493330650366,1.2374489523907197
2024-06-10,1.5063077118059969,1.2412724029743223
2024-06-11,1.4978129089514796,1.2442617538632894
2024-06-12,1.5125885339983272,1.254481172796471
2024-06-13,1.5104776336702106,1.2570068781077341
2024-06-14,1.509288922035202,1.2577717705004936
2024-06-17,1.5235588357142815,1.267782267182083
2024-06-18,1.5355696438488446,1.2710033686184596
2024-06-19,1.5355696438488446,1.2710033686184596
2024-06-20,1.523750735119112,1.2675505166346734
2024-06-21,1.5124576781287746,1.2658511089422602
2024-06-24,1.489667645903576,1.2617363808626616
2024-06-25,1.5088664068162772,1.2665951957995913
2024-06-26,1.5036854983588868,1.2681759830434864
2024-06-27,1.497257923119087,1.2701751927221059
2024-06-28,1.4950051027265023,1.2651769518012297
2024-07-01,1.5051084765618559,1.2677806778703489
2024-07-02,1.5101351154014897,1.2763123922247959
2024-07-03,1.5175325343507282,1.282008196514059
2024-07-04,1.5175325343507282,1.282008196514059
2024-07-05,1.5406683446338516,1.2894009522866923
2024-07-08,1.541690152089753,1.2908886925526997
2024-07-09,1.551307951387119,1.292144104339758
2024-07-10,1.5643026843165977,1.3049301172406347
2024-07-11,1.532487621971498,1.293678512577594
2024-07-12,1.5353578616263748,1.3018383279862602
2024-07-15,1.5454551437958983,1.3054184693916597
2024-07-16,1.542665074951012,1.3131597178827166
2024-07-17,1.4559375893054538,1.2947479748917619
2024-07-18,1.4496267161033796,1.2847978720560684
2024-07-19,1.4375770211370131,1.2762658687358517
2024-07-22,1.471886164559071,1.2894242140311638
2024-07-23,1.4886043678972791,1.2874015981251874
2024-07-24,1.4344035984592727,1.2582257357249078
2024-07-25,1.413976781161729,1.2516701137874935
2024-07-26,1.4254632261025972,1.2656884212138415
2024-07-29,1.4209001165346729,1.2664323635882877
2024-07-30,1.3939966322627155,1.260016023151935
2024-07-31,1.4515358733270693,1.28049690553781
2024-08-01,1.418754382617556,1.2623640145147483
2024-08-02,1.37751005036479,1.2388608391421452
2024-08-05,1.342577200467668,1.2027806453617
2024-08-06,1.3654994225110975,1.2138696345377646
2024-08-07,1.343908742122746,1.2057562703765998
2024-08-08,1.3997329720694978,1.2336301252594348
2024-08-09,1.4175126405914955,1.2390700503595073
2024-08-12,1.4207252773973986,1.2397208012731809
2024-08-13,1.4501863656203113,1.2601090701298228
2024-08-14,1.4502586870967307,1.2640842277425899
2024-08-15,1.4859723110255882,1.285750881164992
2024-08-16,1.4885873664507037,1.288633892650659
2024-08-19,1.5064959760627867,1.3009548151449826
2024-08-20,1.499507389897731,1.2988392967440037
2024-08-21,1.504008531432929,1.3033029509906808
2024-08-22,1.492630195296061,1.2930738517042095
2024-08-23,1.5128766313828665,1.3068131626797794
2024-08-26,1.5084246754129682,1.3036981116809332
2024-08-27,1.5194698589190405,1.3054882546250752
2024-08-28,1.5132979884348177,1.297909404896667
2024-08-29,1.5103474867612587,1.2980255691361415
2024-08-30,1.5252626656268184,1.3104165658296507
2024-09-02,1.5248975521992143,1.3104165658296507
2024-09-03,1.4895567584787257,1.2834497022568925
2024-09-04,1.4941652982984706,1.2808225699604165
2024-09-05,1.4810745594959436,1.2777072299958003
2024-09-06,1.465739980237265,1.2562032643018166
2024-09-09,1.485281732157184,1.2702680952171084
2024-09-10,1.4867301390886833,1.2758009228121836
2024-09-11,1.5105858104384027,1.2888894828740802
2024-09-12,1.5273911909573998,1.299746071329753
2024-09-13,1.5379150026278943,1.3065341662290015
2024-09-16,1.5365054318328524,1.3084637351570902
2024-09-17,1.5226215720931502,1.3089984663141743
2024-09-18,1.520136895943249,1.3051160667135249
2024-09-19,1.5370073770346597,1.3273873810093118
2024-09-20,1.5363573448825822,1.3250927038310336
2024-09-23,1.5412021569834546,1.3284039625875994
2024-09-24,1.5468609635517854,1.3322050183240395
2024-09-25,1.5563055085589892,1.3292666698934488
2024-09-26,1.5450109554891085,1.334536827603742
2024-09-27,1.5340880254664286,1.3326013348773715
2024-09-30,1.5431742454771207,1.3379414223039652
2024-10-01,1.5384121108273925,1.325955555619768
2024-10-02,1.5387794860703519,1.326515282315943
2024-10-03,1.535668822615236,1.3240901370925833
2024-10-04,1.5466473597939927,1.3361223827828392
2024-10-07,1.5390554082674714,1.3240434691207545
2024-10-08,1.5507827125848461,1.33656565627377
2024-10-09,1.5653872770534467,1.3458231081591632
2024-10-10,1.557257352001058,1.3434680371349892
2024-10-11,1.5704878519663545,1.3515129886501451
2024-10-14,1.5818402102489195,1.3625662183121923
2024-10-15,1.571010424948281,1.3519793794026624
2024-10-16,1.5809353742353964,1.3578556428151891
2024-10-17,1.5828878217970621,1.3579722405033183
2024-10-18,1.5865912699715181,1.3631957302417825
2024-10-21,1.586212227158218,1.3609572569057378
2024-10-22,1.596404843350486,1.3602342645496048
2024-10-23,1.598919661028256,1.3478051243744773
2024-10-24,1.5942853526580705,1.3507200665777113
2024-10-25,1.5844663132260106,1.3502538203080787
2024-10-28,1.5870737718914714,1.3544279308533786
2024-10-29,1.5904643453481342,1.3566197362175947
2024-10-30,1.5749552096445638,1.3525156998714802
2024-10-31,1.5505707636801338,1.3260020791087117
2024-11-01,1.5524721857053931,1.3315986236560362
2024-11-04,1.5506742184574969,1.328730493907516
2024-11-05,1.5740294037275742,1.3447971351933556
2024-11-06,1.5903307940049112,1.3782362540789301
2024-11-07,1.6103110876801396,1.3888930227047607
2024-11-08,1.6265793500757202,1.3949092900327738
2024-11-11,1.6174354971776201,1.3962383880911404
2024-11-12,1.6088979922257358,1.391901300851652
2024-11-13,1.6003532288282092,1.3925774807530713
2024-11-14,1.5917780478528702,1.3836230094773525
2024-11-15,1.5680232264853373,1.3659007388132296
2024-11-18,1.5730058062062953,1.3714972833605539
2024-11-19,1.585169424231512,1.3765106949843466
2024-11-20,1.5932246679788205,1.376977230219749
2024-11-21,1.6052220706516531,1.3843691190950724
2024-11-22,1.6092199918891568,1.3886599718113868
2024-11-25,1.6020162557846453,1.3933702583426202
2024-11-26,1.6115076706316498,1.4006456940126992
2024-11-27,1.6009836220707587,1.3964017982339834
2024-11-28,1.6009836220707587,1.3964017982339834
2024-11-29,1.6196961356052209,1.4050764061616148
2024-12-02,1.624114761430029,1.407594742845747
2024-12-03,1.6302322358139056,1.4082478054855794
2024-12-04,1.66148645364716,1.4169921986466265
2024-12-05,1.6584617404001116,1.4146603893669243
2024-12-06,1.6576161667311289,1.4173419917110146
2024-12-09,1.6244029322292006,1.4100431498135786
2024-12-10,1.6204617808067656,1.4056591056364918
2024-12-11,1.6294747002874863,1.416525807894109
2024-12-12,1.6209751512512436,1.409227110479558
2024-12-13,1.6147492402203882,1.4089473916143556
2024-12-16,1.617437295253373,1.4149635144594837
2024-12-17,1.606069818311694,1.4091336300530157
2024-12-18,1.5640040543334084,1.367136645410824
2024-12-19,1.56820629907781,1.3667167781472505
2024-12-20,1.5873524201170317,1.383132345600169
2024-12-23,1.5927289377105156,1.391414971461016
2024-12-24,1.62599444617875,1.4068805639455944
2024-12-26,1.6226748883490294,1.4069743333379068
2024-12-27,1.6015812337954916,1.3921636817706649
2024-12-30,1.5818799978953708,1.3762769216765487
2024-12-31,1.5702397139470596,1.3712700117825776
2025-01-02,1.566745552755701,1.3679008153891594
2025-01-03,1.5932975982002178,1.3850041213742907
2025-01-06,1.607461050116328,1.3929824662794992
2025-01-07,1.5846507280804158,1.377236143549524
2025-01-08,1.5882363587943893,1.3792483566877862
2025-01-09,1.5891645082885535,1.3792483566877862
2025-01-10,1.5702481101256915,1.358190843108201
2025-01-13,1.5667443801185303,1.3602966811558905
2025-01-14,1.5679263213654895,1.3621684569300119
2025-01-15,1.6131634946636297,1.3869461158304826
2025-01-16,1.6023836785119208,1.384278961774884
2025-01-17,1.6291594982840512,1.398176914958095
2025-01-20,1.6287832479537174,1.398176914958095
2025-01-21,1.6469040050033001,1.41097520890419
2025-01-22,1.6566382867457203,1.4189070303204545
2025-01-23,1.6680370842549357,1.4266513129520946
2025-01-24,1.6686001377715973,1.422486593794314
2025-01-27,1.6070436479412231,1.4023650403432322
2025-01-28,1.6419581738644828,1.4144146239796784
2025-01-29,1.638088411683379,1.408073992575023
2025-01-30,1.660045349444106,1.4156311698706934
2025-01-31,1.65708556675894,1.4080973988023797
2025-02-03,1.637495141043391,1.3986214887949895
2025-02-04,1.657354496732716,1.4080039183758375
2025-02-05,1.6769442329237607,1.4137127261247435
2025-02-06,1.694075666573574,1.4186261555921724
2025-02-07,1.682554230801692,1.4056406118272229
2025-02-10,1.679895313728002,1.4151867405166836
2025-02-11,1.679225104183501,1.4162629935264428
2025-02-12,1.686435184008106,1.4117005129864815
2025-02-13,1.7018623420175285,1.4266045004973809
2025-02-14,1.7039296693872938,1.4265345707810801
